2017 UL 2d Templates:

Layer   Template ID    Files
  1       2300         62701-62975
  2       1410         59601-59875
  3       1623         60701-60975
  4        333         52601-52875 
  R2P1    1740         60121-60169
  R1P1    1850         60251-60299
  R1P2    1860         60381-60429
  R2P2    1770         60511-60559
  
  
